basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
2011.01,1,6654,J14w,Masunoyama,1-0 (8-5-2),true,yoritaoshi,6770,Ms1w,Minami,0-1 (3-4),false
2011.01,1,6770,Ms1w,Minami,0-1 (3-4),false,yoritaoshi,6654,J14w,Masunoyama,1-0 (8-5-2),true
2011.01,1,1134,J14e,Tsurugidake,1-0 (7-8),true,hatakikomi,2851,J13w,Fujiazuma,0-1 (8-7),false
2011.01,1,2851,J13w,Fujiazuma,0-1 (8-7),false,hatakikomi,1134,J14e,Tsurugidake,1-0 (7-8),true
2011.01,1,898,J13e,Chiyohakuho,1-0 (7-8),true,hikiotoshi,1266,J12w,Nionoumi,0-1 (5-10),false
2011.01,1,1266,J12w,Nionoumi,0-1 (5-10),false,hikiotoshi,898,J13e,Chiyohakuho,1-0 (7-8),true
2011.01,1,296,J11w,Yoshiazuma,1-0 (6-9),true,tsukiotoshi,6766,J11e,Kiyoseumi,0-1 (7-8),false
2011.01,1,6766,J11e,Kiyoseumi,0-1 (7-8),false,tsukiotoshi,296,J11w,Yoshiazuma,1-0 (6-9),true
2011.01,1,1032,J10e,Hochiyama,0-1 (7-8),false,yorikiri,8900,J10w,Akiseyama,1-0 (8-7),true
2011.01,1,8900,J10w,Akiseyama,1-0 (8-7),true,yorikiri,1032,J10e,Hochiyama,0-1 (7-8),false
2011.01,1,1204,J9w,Kakizoe,0-1 (4-11),false,oshidashi,2831,J9e,Hoshikaze,1-0 (9-6),true
2011.01,1,2831,J9e,Hoshikaze,1-0 (9-6),true,oshidashi,1204,J9w,Kakizoe,0-1 (4-11),false
2011.01,1,2842,J7w,Sadanofuji,0-1 (6-9),false,hatakikomi,6497,J8w,Daido,1-0 (9-6),true
2011.01,1,6497,J8w,Daido,1-0 (9-6),true,hatakikomi,2842,J7w,Sadanofuji,0-1 (6-9),false
